Year,Country,Athlete,Sport,Event,Medal
1996,Italy,Athlete_492,Judo,Judo Event 10,Gold
1996,Australia,Athlete_247,Cycling,Cycling Event 9,Bronze
1996,Australia,Athlete_38,Shooting,Shooting Event 4,Bronze
1996,China,Athlete_106,Rowing,Rowing Event 4,Silver
1996,Canada,Athlete_306,Wrestling,Wrestling Event 1,Gold
1996,Australia,Athlete_45,Cycling,Cycling Event 5,Bronze
1996,Russia,Athlete_434,Wrestling,Wrestling Event 7,Bronze
1996,France,Athlete_154,Fencing,Fencing Event 2,Gold
1996,USA,Athlete_78,Judo,Judo Event 2,Silver
1996,UK,Athlete_434,Fencing,Fencing Event 4,Gold
1996,China,Athlete_179,Judo,Judo Event 6,Bronze
1996,Russia,Athlete_278,Athletics,Athletics Event 3,Bronze
1996,China,Athlete_436,Judo,Judo Event 8,Silver
1996,Russia,Athlete_101,Cycling,Cycling Event 4,Silver
1996,USA,Athlete_277,Judo,Judo Event 10,Silver
1996,Japan,Athlete_216,Swimming,Swimming Event 3,Bronze
1996,USA,Athlete_374,Athletics,Athletics Event 4,Silver
1996,USA,Athlete_200,Swimming,Swimming Event 3,Silver
1996,USA,Athlete_270,Judo,Judo Event 1,Gold
1996,USA,Athlete_475,Judo,Judo Event 2,Bronze
1996,Russia,Athlete_93,Athletics,Athletics Event 2,Bronze
1996,Australia,Athlete_346,Rowing,Rowing Event 9,Silver
1996,Japan,Athlete_352,Cycling,Cycling Event 7,Bronze
1996,Japan,Athlete_382,Gymnastics,Gymnastics Event 6,Bronze
1996,France,Athlete_411,Athletics,Athletics Event 6,Bronze
1996,Italy,Athlete_161,Wrestling,Wrestling Event 10,Bronze
1996,Canada,Athlete_181,Athletics,Athletics Event 10,Bronze
1996,Germany,Athlete_31,Cycling,Cycling Event 2,Bronze
1996,USA,Athlete_11,Shooting,Shooting Event 2,Gold
1996,China,Athlete_373,Judo,Judo Event 3,Silver
1996,France,Athlete_114,Judo,Judo Event 4,Gold
1996,France,Athlete_465,Cycling,Cycling Event 8,Silver
1996,Japan,Athlete_78,Rowing,Rowing Event 2,Gold
1996,Germany,Athlete_447,Swimming,Swimming Event 3,Bronze
1996,USA,Athlete_28,Judo,Judo Event 8,Bronze
1996,China,Athlete_20,Shooting,Shooting Event 6,Gold
1996,China,Athlete_426,Judo,Judo Event 8,Gold
1996,China,Athlete_259,Judo,Judo Event 5,Bronze
1996,Italy,Athlete_208,Wrestling,Wrestling Event 2,Bronze
1996,Germany,Athlete_310,Boxing,Boxing Event 9,Bronze
1996,Japan,Athlete_48,Gymnastics,Gymnastics Event 5,Gold
1996,Canada,Athlete_327,Gymnastics,Gymnastics Event 5,Gold
1996,Russia,Athlete_492,Judo,Judo Event 5,Gold
1996,UK,Athlete_161,Swimming,Swimming Event 8,Silver
1996,Italy,Athlete_350,Rowing,Rowing Event 1,Gold
1996,UK,Athlete_311,Rowing,Rowing Event 7,Bronze
1996,Italy,Athlete_296,Cycling,Cycling Event 6,Bronze
1996,Russia,Athlete_410,Shooting,Shooting Event 8,Bronze
1996,France,Athlete_259,Shooting,Shooting Event 10,Gold
1996,Russia,Athlete_218,Boxing,Boxing Event 7,Gold
1996,Germany,Athlete_25,Judo,Judo Event 3,Bronze
1996,Germany,Athlete_227,Wrestling,Wrestling Event 6,Gold
1996,Germany,Athlete_38,Wrestling,Wrestling Event 2,Gold
1996,USA,Athlete_252,Fencing,Fencing Event 2,Silver
1996,France,Athlete_398,Gymnastics,Gymnastics Event 8,Bronze
1996,UK,Athlete_214,Fencing,Fencing Event 2,Silver
1996,Italy,Athlete_154,Gymnastics,Gymnastics Event 1,Gold
1996,Germany,Athlete_222,Athletics,Athletics Event 10,Gold
1996,Australia,Athlete_25,Rowing,Rowing Event 4,Silver
1996,Australia,Athlete_426,Fencing,Fencing Event 2,Gold
1996,France,Athlete_6,Boxing,Boxing Event 3,Gold
1996,Japan,Athlete_336,Judo,Judo Event 8,Bronze
1996,UK,Athlete_53,Rowing,Rowing Event 3,Gold
1996,Germany,Athlete_259,Gymnastics,Gymnastics Event 2,Gold
1996,France,Athlete_400,Athletics,Athletics Event 7,Silver
1996,Russia,Athlete_406,Cycling,Cycling Event 10,Silver
1996,Italy,Athlete_133,Cycling,Cycling Event 4,Silver
1996,Canada,Athlete_135,Judo,Judo Event 4,Bronze
1996,Australia,Athlete_394,Boxing,Boxing Event 1,Silver
1996,Germany,Athlete_20,Swimming,Swimming Event 9,Silver
1996,Japan,Athlete_359,Gymnastics,Gymnastics Event 10,Silver
1996,UK,Athlete_17,Shooting,Shooting Event 9,Gold
1996,Japan,Athlete_3,Cycling,Cycling Event 10,Bronze
1996,Canada,Athlete_465,Shooting,Shooting Event 7,Silver
1996,Australia,Athlete_197,Boxing,Boxing Event 10,Bronze
1996,Canada,Athlete_492,Judo,Judo Event 5,Bronze
1996,Russia,Athlete_192,Fencing,Fencing Event 3,Gold
1996,UK,Athlete_323,Shooting,Shooting Event 1,Bronze
1996,China,Athlete_352,Boxing,Boxing Event 5,Bronze
1996,Russia,Athlete_155,Boxing,Boxing Event 8,Bronze
1996,USA,Athlete_206,Athletics,Athletics Event 8,Bronze
1996,Japan,Athlete_114,Wrestling,Wrestling Event 8,Bronze
1996,USA,Athlete_210,Cycling,Cycling Event 10,Bronze
1996,China,Athlete_345,Cycling,Cycling Event 5,Gold
1996,China,Athlete_339,Boxing,Boxing Event 2,Silver
1996,Canada,Athlete_322,Gymnastics,Gymnastics Event 2,Bronze
1996,Canada,Athlete_48,Swimming,Swimming Event 1,Gold
1996,UK,Athlete_269,Rowing,Rowing Event 7,Silver
1996,Russia,Athlete_73,Shooting,Shooting Event 5,Gold
1996,Italy,Athlete_60,Boxing,Boxing Event 1,Silver
1996,Russia,Athlete_176,Shooting,Shooting Event 9,Bronze
1996,Japan,Athlete_57,Cycling,Cycling Event 9,Silver
1996,USA,Athlete_265,Fencing,Fencing Event 4,Silver
1996,Japan,Athlete_423,Wrestling,Wrestling Event 1,Silver
1996,UK,Athlete_257,Swimming,Swimming Event 3,Silver
1996,Russia,Athlete_239,Cycling,Cycling Event 5,Bronze
1996,Russia,Athlete_170,Shooting,Shooting Event 2,Gold
1996,Italy,Athlete_464,Judo,Judo Event 5,Bronze
1996,Australia,Athlete_210,Judo,Judo Event 2,Bronze
1996,Germany,Athlete_256,Rowing,Rowing Event 2,Bronze
1996,China,Athlete_79,Shooting,Shooting Event 2,Silver
1996,France,Athlete_389,Gymnastics,Gymnastics Event 2,Gold
1996,France,Athlete_469,Shooting,Shooting Event 2,Bronze
1996,Italy,Athlete_15,Gymnastics,Gymnastics Event 2,Silver
1996,Japan,Athlete_121,Shooting,Shooting Event 1,Gold
1996,Germany,Athlete_162,Cycling,Cycling Event 8,Silver
1996,Japan,Athlete_249,Cycling,Cycling Event 1,Bronze
1996,USA,Athlete_106,Cycling,Cycling Event 4,Gold
1996,China,Athlete_270,Judo,Judo Event 9,Silver
1996,USA,Athlete_341,Boxing,Boxing Event 10,Bronze
1996,Germany,Athlete_425,Wrestling,Wrestling Event 5,Gold
1996,Australia,Athlete_180,Boxing,Boxing Event 3,Bronze
1996,Japan,Athlete_270,Wrestling,Wrestling Event 7,Gold
1996,USA,Athlete_477,Cycling,Cycling Event 9,Bronze
1996,Germany,Athlete_341,Athletics,Athletics Event 9,Silver
1996,France,Athlete_210,Rowing,Rowing Event 7,Gold
1996,Germany,Athlete_23,Fencing,Fencing Event 3,Gold
1996,UK,Athlete_103,Gymnastics,Gymnastics Event 5,Silver
1996,Australia,Athlete_339,Gymnastics,Gymnastics Event 4,Bronze
1996,Italy,Athlete_380,Shooting,Shooting Event 2,Silver
1996,USA,Athlete_144,Judo,Judo Event 6,Gold
1996,UK,Athlete_95,Boxing,Boxing Event 1,Gold
1996,Australia,Athlete_232,Wrestling,Wrestling Event 8,Bronze
1996,UK,Athlete_474,Fencing,Fencing Event 7,Bronze
1996,Japan,Athlete_149,Swimming,Swimming Event 7,Silver
1996,France,Athlete_351,Boxing,Boxing Event 2,Silver
1996,Japan,Athlete_97,Fencing,Fencing Event 2,Gold
1996,Japan,Athlete_489,Fencing,Fencing Event 6,Silver
1996,USA,Athlete_191,Judo,Judo Event 5,Silver
1996,Canada,Athlete_257,Boxing,Boxing Event 5,Bronze
1996,UK,Athlete_217,Wrestling,Wrestling Event 8,Gold
1996,Russia,Athlete_34,Shooting,Shooting Event 5,Gold
1996,Russia,Athlete_14,Cycling,Cycling Event 4,Bronze
1996,USA,Athlete_78,Cycling,Cycling Event 4,Silver
2000,Australia,Athlete_225,Gymnastics,Gymnastics Event 6,Bronze
2000,Japan,Athlete_311,Rowing,Rowing Event 4,Bronze
2000,Germany,Athlete_43,Judo,Judo Event 7,Bronze
2000,USA,Athlete_475,Wrestling,Wrestling Event 2,Bronze
2000,UK,Athlete_93,Wrestling,Wrestling Event 4,Gold
2000,Russia,Athlete_201,Athletics,Athletics Event 8,Silver
2000,USA,Athlete_417,Gymnastics,Gymnastics Event 8,Silver
2000,Italy,Athlete_107,Boxing,Boxing Event 7,Silver
2000,Italy,Athlete_109,Swimming,Swimming Event 5,Silver
2000,UK,Athlete_442,Gymnastics,Gymnastics Event 5,Gold
2000,Germany,Athlete_489,Swimming,Swimming Event 8,Gold
2000,Australia,Athlete_73,Athletics,Athletics Event 8,Silver
2000,Russia,Athlete_8,Fencing,Fencing Event 2,Gold
2000,Russia,Athlete_120,Swimming,Swimming Event 8,Bronze
2000,Germany,Athlete_179,Shooting,Shooting Event 5,Silver
2000,UK,Athlete_417,Gymnastics,Gymnastics Event 10,Gold
2000,Japan,Athlete_179,Swimming,Swimming Event 4,Gold
2000,Italy,Athlete_261,Boxing,Boxing Event 7,Gold
2000,Germany,Athlete_303,Wrestling,Wrestling Event 4,Silver
2000,France,Athlete_98,Athletics,Athletics Event 2,Gold
2000,Russia,Athlete_173,Judo,Judo Event 2,Silver
2000,USA,Athlete_261,Gymnastics,Gymnastics Event 1,Gold
2000,Italy,Athlete_107,Judo,Judo Event 5,Bronze
2000,Japan,Athlete_210,Athletics,Athletics Event 9,Bronze
2000,Germany,Athlete_319,Athletics,Athletics Event 8,Bronze
2000,Canada,Athlete_396,Fencing,Fencing Event 4,Gold
2000,China,Athlete_333,Athletics,Athletics Event 1,Bronze
2000,Canada,Athlete_7,Fencing,Fencing Event 4,Silver
2000,Germany,Athlete_94,Boxing,Boxing Event 10,Gold
2000,Italy,Athlete_389,Rowing,Rowing Event 7,Bronze
2000,USA,Athlete_431,Athletics,Athletics Event 8,Silver
2000,Russia,Athlete_273,Boxing,Boxing Event 3,Bronze
2000,Canada,Athlete_24,Judo,Judo Event 1,Silver
2000,UK,Athlete_50,Fencing,Fencing Event 8,Bronze
2000,Germany,Athlete_170,Gymnastics,Gymnastics Event 9,Gold
2000,China,Athlete_177,Gymnastics,Gymnastics Event 7,Silver
2000,Australia,Athlete_68,Rowing,Rowing Event 4,Silver
2000,Italy,Athlete_221,Judo,Judo Event 8,Silver
2000,USA,Athlete_350,Wrestling,Wrestling Event 4,Bronze
2000,Canada,Athlete_345,Boxing,Boxing Event 2,Gold
2000,USA,Athlete_66,Fencing,Fencing Event 6,Gold
2000,Japan,Athlete_370,Cycling,Cycling Event 8,Silver
2000,Australia,Athlete_168,Judo,Judo Event 5,Bronze
2000,Japan,Athlete_93,Fencing,Fencing Event 4,Bronze
2000,China,Athlete_347,Cycling,Cycling Event 7,Silver
2000,Australia,Athlete_482,Wrestling,Wrestling Event 9,Gold
2000,Germany,Athlete_259,Judo,Judo Event 7,Gold
2000,Russia,Athlete_383,Judo,Judo Event 6,Bronze
2000,Italy,Athlete_227,Cycling,Cycling Event 8,Gold
2000,China,Athlete_151,Swimming,Swimming Event 7,Gold
2000,USA,Athlete_127,Swimming,Swimming Event 7,Gold
2000,UK,Athlete_209,Judo,Judo Event 4,Silver
2000,UK,Athlete_235,Athletics,Athletics Event 8,Bronze
2000,Italy,Athlete_332,Fencing,Fencing Event 4,Silver
2000,Germany,Athlete_265,Rowing,Rowing Event 5,Bronze
2000,Russia,Athlete_207,Athletics,Athletics Event 8,Gold
2000,USA,Athlete_249,Gymnastics,Gymnastics Event 6,Bronze
2000,USA,Athlete_124,Swimming,Swimming Event 2,Bronze
2000,France,Athlete_284,Judo,Judo Event 8,Silver
2000,Canada,Athlete_392,Cycling,Cycling Event 5,Gold
2000,Canada,Athlete_42,Boxing,Boxing Event 3,Bronze
2000,Italy,Athlete_198,Boxing,Boxing Event 2,Silver
2000,Japan,Athlete_8,Wrestling,Wrestling Event 5,Silver
2000,Italy,Athlete_257,Boxing,Boxing Event 7,Silver
2000,UK,Athlete_308,Athletics,Athletics Event 9,Bronze
2000,China,Athlete_280,Swimming,Swimming Event 1,Gold
2000,UK,Athlete_387,Gymnastics,Gymnastics Event 9,Bronze
2000,Canada,Athlete_362,Swimming,Swimming Event 3,Silver
2000,Australia,Athlete_254,Fencing,Fencing Event 10,Bronze
2000,Germany,Athlete_363,Gymnastics,Gymnastics Event 9,Bronze
2000,Japan,Athlete_64,Cycling,Cycling Event 5,Bronze
2000,Italy,Athlete_344,Cycling,Cycling Event 8,Silver
2000,France,Athlete_155,Gymnastics,Gymnastics Event 7,Silver
2000,Australia,Athlete_160,Gymnastics,Gymnastics Event 3,Bronze
2000,Canada,Athlete_445,Fencing,Fencing Event 1,Gold
2000,Italy,Athlete_172,Fencing,Fencing Event 9,Silver
2000,Russia,Athlete_422,Shooting,Shooting Event 4,Bronze
2000,UK,Athlete_413,Boxing,Boxing Event 3,Bronze
2000,USA,Athlete_95,Gymnastics,Gymnastics Event 6,Silver
2000,Australia,Athlete_210,Fencing,Fencing Event 8,Gold
2000,Russia,Athlete_83,Athletics,Athletics Event 4,Gold
2000,France,Athlete_37,Fencing,Fencing Event 6,Gold
2000,China,Athlete_241,Rowing,Rowing Event 2,Silver
2000,Germany,Athlete_11,Boxing,Boxing Event 2,Silver
2000,Japan,Athlete_323,Athletics,Athletics Event 4,Bronze
2000,Italy,Athlete_32,Boxing,Boxing Event 3,Bronze
2000,France,Athlete_15,Athletics,Athletics Event 2,Bronze
2000,France,Athlete_375,Cycling,Cycling Event 1,Gold
2000,Japan,Athlete_213,Athletics,Athletics Event 4,Gold
2000,Russia,Athlete_404,Cycling,Cycling Event 2,Silver
2000,Germany,Athlete_457,Judo,Judo Event 4,Bronze
2000,Australia,Athlete_58,Fencing,Fencing Event 10,Gold
2000,Italy,Athlete_289,Athletics,Athletics Event 7,Gold
2000,Canada,Athlete_156,Shooting,Shooting Event 8,Silver
2000,UK,Athlete_158,Boxing,Boxing Event 10,Bronze
2000,USA,Athlete_473,Boxing,Boxing Event 3,Silver
2000,Australia,Athlete_152,Gymnastics,Gymnastics Event 1,Bronze
2000,UK,Athlete_9,Wrestling,Wrestling Event 7,Bronze
2000,China,Athlete_251,Gymnastics,Gymnastics Event 4,Gold
2000,USA,Athlete_353,Shooting,Shooting Event 7,Silver
2000,France,Athlete_411,Fencing,Fencing Event 5,Silver
2000,Canada,Athlete_444,Swimming,Swimming Event 3,Silver
2000,Australia,Athlete_179,Wrestling,Wrestling Event 8,Bronze
2000,Russia,Athlete_314,Athletics,Athletics Event 10,Bronze
2000,Russia,Athlete_6,Shooting,Shooting Event 9,Gold
2000,Japan,Athlete_146,Judo,Judo Event 2,Silver
2000,France,Athlete_98,Cycling,Cycling Event 6,Bronze
2000,Canada,Athlete_476,Shooting,Shooting Event 7,Bronze
2000,Canada,Athlete_360,Judo,Judo Event 1,Silver
2000,Russia,Athlete_496,Fencing,Fencing Event 1,Silver
2000,USA,Athlete_92,Judo,Judo Event 7,Bronze
2000,Australia,Athlete_307,Boxing,Boxing Event 9,Gold
2000,USA,Athlete_366,Swimming,Swimming Event 5,Silver
2000,UK,Athlete_79,Wrestling,Wrestling Event 1,Gold
2000,Japan,Athlete_496,Cycling,Cycling Event 1,Gold
2000,China,Athlete_446,Rowing,Rowing Event 10,Bronze
2000,Japan,Athlete_182,Rowing,Rowing Event 9,Bronze
2000,Russia,Athlete_46,Cycling,Cycling Event 5,Bronze
2000,France,Athlete_478,Wrestling,Wrestling Event 8,Silver
2000,Canada,Athlete_366,Swimming,Swimming Event 4,Bronze
2000,USA,Athlete_322,Gymnastics,Gymnastics Event 7,Gold
2000,Australia,Athlete_300,Swimming,Swimming Event 5,Silver
2000,Russia,Athlete_155,Judo,Judo Event 9,Gold
2000,Italy,Athlete_261,Judo,Judo Event 6,Silver
2000,Russia,Athlete_220,Judo,Judo Event 2,Bronze
2000,USA,Athlete_276,Cycling,Cycling Event 7,Silver
2000,UK,Athlete_409,Rowing,Rowing Event 10,Gold
2000,Russia,Athlete_22,Shooting,Shooting Event 5,Gold
2000,Canada,Athlete_473,Swimming,Swimming Event 9,Bronze
2000,Italy,Athlete_352,Fencing,Fencing Event 6,Bronze
2000,France,Athlete_54,Boxing,Boxing Event 8,Bronze
2000,UK,Athlete_397,Athletics,Athletics Event 1,Bronze
2000,Canada,Athlete_280,Judo,Judo Event 2,Gold
2000,Germany,Athlete_190,Athletics,Athletics Event 4,Bronze
2000,USA,Athlete_308,Judo,Judo Event 3,Gold
2000,France,Athlete_71,Swimming,Swimming Event 8,Gold
2000,Russia,Athlete_499,Gymnastics,Gymnastics Event 6,Silver
2000,Russia,Athlete_336,Swimming,Swimming Event 5,Gold
2000,UK,Athlete_475,Boxing,Boxing Event 4,Gold
2000,Japan,Athlete_204,Boxing,Boxing Event 2,Gold
2000,USA,Athlete_371,Gymnastics,Gymnastics Event 5,Gold
2000,France,Athlete_156,Rowing,Rowing Event 1,Bronze
2000,Japan,Athlete_492,Athletics,Athletics Event 3,Bronze
2000,France,Athlete_478,Rowing,Rowing Event 9,Bronze
2000,Canada,Athlete_1,Boxing,Boxing Event 5,Bronze
2000,Canada,Athlete_208,Wrestling,Wrestling Event 4,Bronze
2000,Australia,Athlete_355,Fencing,Fencing Event 10,Silver
2000,China,Athlete_320,Cycling,Cycling Event 3,Gold
2000,France,Athlete_101,Cycling,Cycling Event 8,Silver
2000,Canada,Athlete_464,Shooting,Shooting Event 6,Gold
2000,Australia,Athlete_62,Cycling,Cycling Event 6,Bronze
2000,UK,Athlete_82,Rowing,Rowing Event 6,Gold
2000,China,Athlete_453,Gymnastics,Gymnastics Event 6,Gold
2000,France,Athlete_338,Wrestling,Wrestling Event 2,Silver
2000,China,Athlete_12,Boxing,Boxing Event 1,Bronze
2000,UK,Athlete_264,Athletics,Athletics Event 4,Gold
2000,Germany,Athlete_84,Rowing,Rowing Event 9,Bronze
2000,China,Athlete_329,Shooting,Shooting Event 6,Gold
2000,Italy,Athlete_351,Athletics,Athletics Event 1,Bronze
2000,Germany,Athlete_372,Swimming,Swimming Event 9,Gold
2000,Germany,Athlete_374,Cycling,Cycling Event 3,Silver
2000,Germany,Athlete_120,Cycling,Cycling Event 6,Silver
2000,Australia,Athlete_136,Judo,Judo Event 10,Silver
2000,Australia,Athlete_164,Fencing,Fencing Event 1,Silver
2000,USA,Athlete_418,Wrestling,Wrestling Event 9,Gold
2000,Germany,Athlete_444,Swimming,Swimming Event 6,Bronze
2000,France,Athlete_107,Shooting,Shooting Event 4,Gold
2000,Germany,Athlete_301,Boxing,Boxing Event 10,Bronze
2000,Russia,Athlete_306,Fencing,Fencing Event 7,Gold
2000,Russia,Athlete_97,Rowing,Rowing Event 6,Bronze
2000,UK,Athlete_157,Judo,Judo Event 6,Silver
2000,USA,Athlete_409,Rowing,Rowing Event 2,Silver
2000,Russia,Athlete_189,Boxing,Boxing Event 2,Gold
2000,China,Athlete_140,Wrestling,Wrestling Event 3,Bronze
2000,Italy,Athlete_249,Athletics,Athletics Event 8,Bronze
2000,China,Athlete_477,Gymnastics,Gymnastics Event 3,Gold
2000,Germany,Athlete_283,Rowing,Rowing Event 8,Silver
2000,Japan,Athlete_305,Swimming,Swimming Event 4,Gold
2000,UK,Athlete_312,Boxing,Boxing Event 5,Silver
2000,Russia,Athlete_488,Shooting,Shooting Event 2,Bronze
2000,USA,Athlete_101,Judo,Judo Event 3,Silver
2000,France,Athlete_310,Athletics,Athletics Event 4,Silver
2000,China,Athlete_426,Judo,Judo Event 2,Bronze
2000,Russia,Athlete_371,Athletics,Athletics Event 10,Silver
2000,UK,Athlete_189,Athletics,Athletics Event 10,Silver
2000,Italy,Athlete_198,Judo,Judo Event 5,Gold
2000,UK,Athlete_327,Rowing,Rowing Event 3,Bronze
2000,UK,Athlete_120,Cycling,Cycling Event 4,Silver
2000,USA,Athlete_109,Fencing,Fencing Event 8,Bronze
2000,France,Athlete_269,Swimming,Swimming Event 9,Bronze
2000,Australia,Athlete_344,Rowing,Rowing Event 1,Bronze
2000,China,Athlete_249,Boxing,Boxing Event 6,Silver
2000,Germany,Athlete_301,Rowing,Rowing Event 5,Bronze
2000,UK,Athlete_122,Boxing,Boxing Event 7,Bronze
2000,Australia,Athlete_313,Shooting,Shooting Event 2,Bronze
2000,Russia,Athlete_405,Gymnastics,Gymnastics Event 1,Silver
2000,Russia,Athlete_250,Shooting,Shooting Event 6,Gold
2000,Australia,Athlete_130,Swimming,Swimming Event 9,Bronze
2000,Japan,Athlete_355,Judo,Judo Event 8,Silver
2000,Canada,Athlete_24,Gymnastics,Gymnastics Event 3,Gold
2004,UK,Athlete_145,Gymnastics,Gymnastics Event 8,Bronze
2004,Italy,Athlete_32,Shooting,Shooting Event 10,Silver
2004,UK,Athlete_6,Shooting,Shooting Event 3,Bronze
2004,Russia,Athlete_222,Shooting,Shooting Event 7,Bronze
2004,USA,Athlete_491,Rowing,Rowing Event 10,Gold
2004,France,Athlete_193,Swimming,Swimming Event 6,Silver
2004,Germany,Athlete_203,Cycling,Cycling Event 7,Gold
2004,Australia,Athlete_343,Judo,Judo Event 4,Gold
2004,USA,Athlete_456,Fencing,Fencing Event 8,Silver
2004,France,Athlete_61,Wrestling,Wrestling Event 1,Gold
2004,China,Athlete_156,Wrestling,Wrestling Event 6,Bronze
2004,Australia,Athlete_414,Wrestling,Wrestling Event 10,Silver
2004,France,Athlete_95,Rowing,Rowing Event 3,Silver
2004,Italy,Athlete_71,Rowing,Rowing Event 2,Silver
2004,Japan,Athlete_132,Athletics,Athletics Event 4,Gold
2004,Canada,Athlete_432,Cycling,Cycling Event 1,Silver
2004,Italy,Athlete_470,Wrestling,Wrestling Event 4,Silver
2004,Japan,Athlete_179,Boxing,Boxing Event 6,Bronze
2004,UK,Athlete_169,Wrestling,Wrestling Event 3,Gold
2004,Germany,Athlete_121,Gymnastics,Gymnastics Event 5,Bronze
2004,France,Athlete_483,Fencing,Fencing Event 8,Gold
2004,Russia,Athlete_499,Cycling,Cycling Event 2,Bronze
2004,Germany,Athlete_469,Shooting,Shooting Event 6,Silver
2004,UK,Athlete_238,Judo,Judo Event 6,Silver
2004,Canada,Athlete_202,Boxing,Boxing Event 5,Gold
2004,France,Athlete_403,Fencing,Fencing Event 8,Silver
2004,UK,Athlete_477,Boxing,Boxing Event 4,Gold
2004,UK,Athlete_264,Gymnastics,Gymnastics Event 10,Bronze
2004,Japan,Athlete_454,Athletics,Athletics Event 10,Silver
2004,USA,Athlete_224,Rowing,Rowing Event 4,Silver
2004,Australia,Athlete_490,Athletics,Athletics Event 5,Silver
2004,Russia,Athlete_413,Rowing,Rowing Event 2,Bronze
2004,Australia,Athlete_459,Gymnastics,Gymnastics Event 8,Gold
2004,Australia,Athlete_436,Shooting,Shooting Event 1,Bronze
2004,Germany,Athlete_497,Judo,Judo Event 9,Bronze
2004,Germany,Athlete_211,Swimming,Swimming Event 1,Silver
2004,Australia,Athlete_75,Boxing,Boxing Event 3,Silver
2004,UK,Athlete_426,Cycling,Cycling Event 6,Gold
2004,Germany,Athlete_323,Boxing,Boxing Event 8,Gold
2004,Italy,Athlete_202,Athletics,Athletics Event 5,Gold
2004,Australia,Athlete_148,Cycling,Cycling Event 9,Bronze
2004,USA,Athlete_25,Boxing,Boxing Event 3,Bronze
2004,Italy,Athlete_314,Boxing,Boxing Event 4,Gold
2004,Russia,Athlete_304,Rowing,Rowing Event 5,Silver
2004,China,Athlete_70,Rowing,Rowing Event 3,Gold
2004,China,Athlete_79,Fencing,Fencing Event 10,Bronze
2004,Canada,Athlete_378,Shooting,Shooting Event 2,Gold
2004,USA,Athlete_82,Shooting,Shooting Event 5,Gold
2004,Japan,Athlete_273,Wrestling,Wrestling Event 8,Gold
2004,Canada,Athlete_88,Fencing,Fencing Event 4,Bronze
2004,Australia,Athlete_378,Judo,Judo Event 1,Silver
2004,Italy,Athlete_194,Gymnastics,Gymnastics Event 9,Silver
2004,China,Athlete_323,Rowing,Rowing Event 2,Bronze
2004,Japan,Athlete_49,Judo,Judo Event 6,Bronze
2004,France,Athlete_97,Wrestling,Wrestling Event 4,Bronze
2004,Australia,Athlete_16,Rowing,Rowing Event 5,Gold
2004,Japan,Athlete_327,Cycling,Cycling Event 4,Bronze
2004,USA,Athlete_355,Wrestling,Wrestling Event 1,Silver
2004,Australia,Athlete_456,Gymnastics,Gymnastics Event 7,Gold
2004,Australia,Athlete_285,Fencing,Fencing Event 2,Silver
2004,Italy,Athlete_13,Rowing,Rowing Event 7,Bronze
2004,Russia,Athlete_279,Swimming,Swimming Event 6,Bronze
2004,Australia,Athlete_242,Swimming,Swimming Event 3,Gold
2004,Australia,Athlete_243,Shooting,Shooting Event 10,Silver
2004,Germany,Athlete_436,Wrestling,Wrestling Event 8,Bronze
2004,USA,Athlete_346,Fencing,Fencing Event 4,Bronze
2004,UK,Athlete_410,Swimming,Swimming Event 4,Gold
2004,France,Athlete_415,Wrestling,Wrestling Event 1,Silver
2004,Japan,Athlete_73,Boxing,Boxing Event 8,Gold
2004,UK,Athlete_152,Cycling,Cycling Event 3,Gold
2004,France,Athlete_88,Athletics,Athletics Event 5,Gold
2004,Canada,Athlete_357,Gymnastics,Gymnastics Event 1,Silver
2004,France,Athlete_484,Gymnastics,Gymnastics Event 5,Gold
2004,Japan,Athlete_361,Rowing,Rowing Event 1,Gold
2004,UK,Athlete_206,Boxing,Boxing Event 1,Silver
2004,Germany,Athlete_331,Rowing,Rowing Event 6,Gold
2004,USA,Athlete_400,Judo,Judo Event 4,Gold
2004,Russia,Athlete_377,Shooting,Shooting Event 1,Silver
2004,Italy,Athlete_252,Shooting,Shooting Event 6,Bronze
2004,Japan,Athlete_265,Judo,Judo Event 8,Bronze
2004,Australia,Athlete_237,Rowing,Rowing Event 2,Silver
2004,Canada,Athlete_189,Wrestling,Wrestling Event 6,Silver
2004,USA,Athlete_237,Wrestling,Wrestling Event 2,Bronze
2004,Russia,Athlete_307,Boxing,Boxing Event 2,Bronze
2004,Russia,Athlete_142,Gymnastics,Gymnastics Event 10,Bronze
2004,Canada,Athlete_253,Gymnastics,Gymnastics Event 1,Bronze
2004,Italy,Athlete_246,Athletics,Athletics Event 8,Gold
2004,Australia,Athlete_106,Boxing,Boxing Event 10,Silver
2004,USA,Athlete_342,Athletics,Athletics Event 2,Gold
2004,Australia,Athlete_128,Rowing,Rowing Event 3,Gold
2004,UK,Athlete_154,Cycling,Cycling Event 4,Bronze
2004,Australia,Athlete_149,Wrestling,Wrestling Event 6,Silver
2004,China,Athlete_128,Wrestling,Wrestling Event 8,Bronze
2004,Germany,Athlete_324,Cycling,Cycling Event 6,Silver
2004,Canada,Athlete_74,Judo,Judo Event 6,Gold
2004,Germany,Athlete_440,Rowing,Rowing Event 4,Silver
2004,Canada,Athlete_43,Boxing,Boxing Event 8,Silver
2004,UK,Athlete_88,Shooting,Shooting Event 6,Bronze
2004,Russia,Athlete_27,Cycling,Cycling Event 2,Bronze
2004,Australia,Athlete_189,Swimming,Swimming Event 5,Bronze
